Category,Name,Value,Unit
Concurrent Documents,100 Concurrent Documents - Total Memory,134.383,MB
Concurrent Documents,100 Concurrent Documents - Per Document,1.34383,MB
Concurrent Documents,Memory Released After Cleanup,114.391,MB
